EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
67,0.2857142857142857,No,Travel_Rarely,Research & Development,0.42857142857142855,3,Life Sciences,Female,4,Research Director,Married,0.20469356961700216,0.125,0.14285714285714285,0,0.39285714285714285,0.75,0.5555555555555556,0.14285714285714285,0.6428571428571429,4.0,4.0,3.0,3,3
68,0.30952380952380953,No,Travel_Frequently,Research & Development,0.03571428571428571,1,Life Sciences,Female,1,Manager,Married,0.5588622427686282,0.125,0.42857142857142855,0,0.35714285714285715,1.0,0.5555555555555556,1.0,0.6428571428571429,3.0,3.0,3.0,2,3
69,0.5,No,Travel_Frequently,Research & Development,0.6428571428571429,4,Medical,Female,1,Research Scientist,Married,0.06761051719156314,0.125,0.14285714285714285,0,0.75,1.0,1.0,1.0,0.21428571428571427,3.0,4.0,3.0,3,3
70,0.5,Yes,Travel_Rarely,Research & Development,0.0,1,Medical,Female,1,Laboratory Technician,Married,0.2102796237439404,0.5,0.42857142857142855,1,0.42857142857142855,0.0,0.05555555555555555,0.0,0.0,4.0,3.0,2.0,3,3
71,0.35714285714285715,No,Travel_Frequently,Sales,0.10714285714285714,2,Life Sciences,Male,4,Research Scientist,Single,0.2426402131689621,0.375,0.0,1,0.32142857142857145,0.0,0.3888888888888889,0.0,0.07142857142857142,2.0,4.0,2.0,3,3
72,0.6904761904761905,No,Travel_Rarely,Research & Development,0.10714285714285714,3,Life Sciences,Female,2,Healthcare Representative,Married,0.3144242190760538,0.5,0.8571428571428571,0,0.75,1.0,0.16666666666666666,0.14285714285714285,0.07142857142857142,4.0,3.0,3.0,4,4
73,0.5952380952380952,No,Travel_Frequently,Research & Development,0.4642857142857143,3,Medical,Female,5,Research Director,Divorced,0.18472503130116535,0.125,0.42857142857142855,2,0.32142857142857145,0.5,0.5,0.0,0.0,3.0,3.0,4.0,3,3
74,0.21428571428571427,No,Non-Travel,Research & Development,0.03571428571428571,3,Life Sciences,Male,1,Research Director,Married,1.0,0.0,0.42857142857142855,0,0.21428571428571427,0.75,0.2777777777777778,0.14285714285714285,0.2857142857142857,3.0,2.0,3.0,3,3
75,0.8571428571428571,No,Travel_Frequently,Research & Development,0.0,4,Life Sciences,Male,2,Research Scientist,Single,0.12353526597964622,0.375,0.07142857142857142,2,0.7142857142857143,0.5,0.2222222222222222,0.0,0.21428571428571427,4.0,3.0,2.0,3,3
76,0.5952380952380952,No,Travel_Rarely,Research & Development,0.21428571428571427,2,Life Sciences,Female,2,Manager,Married,0.35256348518411507,1.0,0.8571428571428571,0,0.35714285714285715,0.75,0.05555555555555555,0.0,0.0,3.0,1.0,2.0,3,4
77,0.6428571428571429,No,Travel_Rarely,Sales,0.07142857142857142,1,Marketing,Female,1,Sales Executive,Married,1.0,1.0,0.21428571428571427,1,0.42857142857142855,1.0,0.5555555555555556,1.0,0.5714285714285714,4.0,4.0,3.0,3,3
78,0.5238095238095238,No,Travel_Rarely,Research & Development,0.03571428571428571,4,Other,Male,4,Research Scientist,Married,0.25837105525056986,0.25,0.21428571428571427,2,0.21428571428571427,1.0,0.2222222222222222,0.0,0.14285714285714285,2.0,4.0,2.0,3,3
79,0.2619047619047619,Yes,Travel_Rarely,Research & Development,1.0,3,Medical,Female,1,Research Scientist,Married,0.08334135927317089,0.125,0.14285714285714285,1,0.25,0.0,0.3888888888888889,0.0,0.5,2.0,1.0,2.0,3,3
80,0.2619047619047619,No,Travel_Rarely,Human Resources,0.25,3,Medical,Male,3,Sales Representative,Single,0.10131946450929404,0.0,0.7857142857142857,2,0.14285714285714285,0.75,0.16666666666666666,0.2857142857142857,0.14285714285714285,2.0,4.0,3.0,3,4
81,0.2857142857142857,No,Travel_Rarely,Research & Development,0.32142857142857145,3,Life Sciences,Male,2,Research Scientist,Divorced,0.2888054191145783,0.125,0.07142857142857142,2,0.35714285714285715,0.5,0.5555555555555556,0.14285714285714285,0.14285714285714285,4.0,3.0,3.0,2,3
82,0.21428571428571427,No,Travel_Rarely,Research & Development,0.35714285714285715,2,Medical,Male,1,Manager,Married,0.21727824328228837,0.125,0.5,1,0.2857142857142857,0.5,0.4444444444444444,0.0,0.5,2.0,2.0,3.0,2,3
83,0.4523809523809524,No,Travel_Rarely,Sales,0.0,4,Life Sciences,Male,2,Healthcare Representative,Divorced,0.792256573244727,0.875,0.21428571428571427,0,0.2857142857142857,1.0,0.3333333333333333,0.0,0.2857142857142857,4.0,4.0,2.0,3,3
84,0.47619047619047616,No,Travel_Rarely,Research & Development,0.9642857142857143,4,Medical,Male,1,Laboratory Technician,Divorced,0.35789270923625155,0.0,0.07142857142857142,0,0.42857142857142855,0.25,0.6111111111111112,0.2857142857142857,0.6428571428571429,3.0,4.0,3.0,3,3
85,0.30952380952380953,No,Travel_Rarely,Research & Development,0.17857142857142858,3,Medical,Female,3,Manager,Single,0.4554881376609201,0.125,0.2857142857142857,1,0.39285714285714285,1.0,0.6111111111111112,0.5714285714285714,0.7142857142857143,3.0,4.0,,3,3
86,0.2619047619047619,No,Travel_Rarely,Research & Development,0.07142857142857142,4,Life Sciences,Male,3,Sales Executive,Divorced,0.19063212302160584,0.125,0.0,0,0.25,0.0,0.3888888888888889,0.14285714285714285,0.5,4.0,2.0,3.0,3,3
87,0.40476190476190477,No,Travel_Rarely,Sales,0.5357142857142857,2,Technical Degree,Male,3,Manager,Single,0.09855854120517513,0.0,0.14285714285714285,1,0.6071428571428571,0.75,0.8888888888888888,0.0,0.9285714285714286,3.0,2.0,3.0,4,3
88,0.11904761904761904,No,Travel_Rarely,Research & Development,0.6785714285714286,4,Life Sciences,Male,1,Manufacturing Director,Divorced,0.2818710070949308,0.125,0.8571428571428571,0,0.14285714285714285,0.5,0.2222222222222222,0.0,0.14285714285714285,3.0,4.0,2.0,2,4
89,0.5476190476190477,No,Travel_Rarely,Research & Development,0.2857142857142857,2,Life Sciences,Female,1,Laboratory Technician,Single,0.28752126874056955,0.75,0.5714285714285714,2,0.2857142857142857,0.0,0.2777777777777778,0.14285714285714285,0.14285714285714285,4.0,2.0,3.0,3,3
90,0.6904761904761905,No,Travel_Frequently,Sales,0.0,3,Medical,Female,2,Laboratory Technician,Single,0.37400879643006196,0.375,0.35714285714285715,1,0.17857142857142858,0.5,0.0,0.0,0.0,2.0,3.0,3.0,4,3
91,0.5714285714285714,No,Travel_Rarely,Research & Development,0.07142857142857142,4,Life Sciences,Male,1,Manager,Single,0.005265016533436065,0.25,0.7857142857142857,0,0.5714285714285714,0.0,0.05555555555555555,0.0,0.0,1.0,4.0,3.0,1,4
92,0.2619047619047619,No,Non-Travel,Sales,0.75,4,Marketing,Male,2,Human Resources,Married,0.30350894089697905,0.125,0.7857142857142857,0,0.14285714285714285,0.25,0.2222222222222222,0.0,0.14285714285714285,4.0,3.0,2.0,2,4
93,0.5714285714285714,No,Travel_Rarely,Sales,0.21428571428571427,4,Medical,Male,3,Research Scientist,Divorced,0.07814055025843526,0.0,0.07142857142857142,1,0.14285714285714285,0.75,0.16666666666666666,0.14285714285714285,0.0,3.0,3.0,3.0,2,3
94,0.3333333333333333,No,Travel_Rarely,Research & Development,0.03571428571428571,3,Medical,Male,2,Research Scientist,Married,0.3042152236026839,0.125,0.14285714285714285,0,0.2857142857142857,0.0,0.4444444444444444,0.0,0.5,3.0,2.0,3.0,3,3
95,0.7142857142857143,No,Travel_Rarely,Sales,0.42857142857142855,4,Medical,Male,4,Sales Executive,Married,0.5679155029053902,0.375,0.35714285714285715,1,0.5357142857142857,0.5,0.0,0.0,0.0,1.0,3.0,1.0,2,3
96,0.4523809523809524,No,Travel_Rarely,Research & Development,0.25,5,Technical Degree,Male,2,Manufacturing Director,Divorced,0.28623711836656074,0.5,0.07142857142857142,0,0.4642857142857143,0.5,0.3888888888888889,0.8571428571428571,0.5,3.0,1.0,3.0,3,3
97,0.2857142857142857,No,Non-Travel,Sales,0.8571428571428571,4,Other,Male,1,Healthcare Representative,Married,0.28065106423962244,0.875,0.7142857142857143,1,0.14285714285714285,0.0,0.1111111111111111,0.2857142857142857,0.14285714285714285,4.0,3.0,4.0,3,4
98,0.19047619047619047,No,Travel_Rarely,Sales,0.9642857142857143,3,Medical,Female,5,Laboratory Technician,Married,0.26594754245722174,0.125,0.2857142857142857,3,0.2857142857142857,0.75,0.4444444444444444,1.0,0.5,3.0,3.0,3.0,3,3
99,0.5714285714285714,No,Travel_Rarely,Sales,0.03571428571428571,2,Medical,Female,1,Laboratory Technician,Single,0.07216925101929436,0.375,0.14285714285714285,2,0.5,0.5,0.05555555555555555,0.0,0.0,1.0,4.0,3.0,3,3
100,0.07142857142857142,Yes,Travel_Frequently,Research & Development,0.2857142857142857,3,Medical,Female,4,Manufacturing Director,Single,1.0,0.125,0.07142857142857142,0,0.10714285714285714,1.0,0.16666666666666666,0.14285714285714285,0.14285714285714285,1.0,2.0,3.0,2,3
101,0.42857142857142855,No,Non-Travel,Human Resources,0.9642857142857143,3,Human Resources,Male,2,Laboratory Technician,Single,0.09136729911072587,0.5,0.7857142857142857,0,0.25,1.0,0.05555555555555555,0.0,0.0,4.0,4.0,3.0,1,4
102,0.42857142857142855,No,Travel_Frequently,Research & Development,0.17857142857142858,3,Life Sciences,Female,2,Research Scientist,Married,0.24154868535105462,0.5,0.14285714285714285,1,0.5714285714285714,0.5,0.7222222222222222,0.14285714285714285,0.8571428571428571,1.0,4.0,3.0,3,3
103,0.9285714285714286,No,Travel_Rarely,Research & Development,0.7142857142857143,4,Life Sciences,Male,5,Research Scientist,Married,1.0,0.25,0.5,0,0.5357142857142857,0.5,0.16666666666666666,0.14285714285714285,0.14285714285714285,4.0,3.0,3.0,1,3
104,0.5238095238095238,No,Travel_Rarely,Research & Development,0.25,3,Other,Male,2,Sales Executive,Married,0.2618382612603936,0.375,0.21428571428571427,1,0.35714285714285715,0.75,0.3888888888888889,0.14285714285714285,0.5,4.0,3.0,3.0,3,3
