EmployeeID,Age,Attrition,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
11,0.6428571428571429,No,0.5714285714285714,2,2,0.44829689556647084,0.0,0.14285714285714285,2,0.75,0.5,1.0,0.5714285714285714,0.7142857142857143,3.0,4.0,3.0,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
12,0.42857142857142855,No,0.9642857142857143,1,1,0.1520434042826415,0.0,0.07142857142857142,2,0.5714285714285714,0.5,0.8333333333333334,1.0,0.7857142857142857,,4.0,3.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
13,0.8809523809523809,No,0.4642857142857143,4,1,0.29079585219429194,0.0,0.42857142857142855,0,1.0,0.5,1.0,0.5714285714285714,0.9285714285714286,4.0,1.0,3.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
14,0.6904761904761905,Yes,0.0,1,1,0.3051783363831905,0.125,0.0,2,0.35714285714285715,1.0,0.5555555555555556,1.0,0.6428571428571429,1.0,2.0,2.0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
15,0.23809523809523808,No,0.0,3,1,0.10164050210279624,0.125,0.21428571428571427,0,0.17857142857142858,0.5,0.2777777777777778,0.0,0.2857142857142857,4.0,4.0,2.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
16,0.4523809523809524,No,0.0,3,2,0.2784680086038075,0.5,0.0,0,0.25,0.5,0.2777777777777778,0.0,0.07142857142857142,3.0,4.0,4.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
17,0.07142857142857142,No,0.07142857142857142,2,1,0.20572088991620918,0.125,0.07142857142857142,3,0.10714285714285714,0.75,0.16666666666666666,0.14285714285714285,0.0,4.0,3.0,4.0,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
18,0.4523809523809524,No,0.0,3,2,0.20019904330797136,0.25,0.14285714285714285,1,0.5357142857142857,0.5,0.2777777777777778,0.0,0.14285714285714285,1.0,4.0,3.0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
19,0.40476190476190477,No,0.21428571428571427,4,1,0.0917525442229285,0.875,0.35714285714285715,0,0.35714285714285715,1.0,0.3888888888888889,0.8571428571428571,0.14285714285714285,2.0,2.0,2.0,2,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
20,0.47619047619047616,No,0.25,3,1,0.3763202671032778,0.125,0.0,1,0.2857142857142857,1.0,0.4444444444444444,1.0,0.5,1.0,1.0,3.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
21,0.19047619047619047,No,0.0,4,2,0.6059905614947511,0.125,0.5,0,0.21428571428571427,0.75,0.3333333333333333,0.14285714285714285,0.2857142857142857,3.0,2.0,1.0,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
22,0.7619047619047619,No,0.25,4,1,0.5559086969084079,0.375,0.8571428571428571,0,1.0,0.5,0.5555555555555556,0.14285714285714285,0.42857142857142855,1.0,2.0,2.0,2,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
23,0.8333333333333334,No,0.35714285714285715,4,2,0.07313236379980095,0.375,0.0,0,0.75,0.5,0.2777777777777778,0.14285714285714285,0.21428571428571427,3.0,3.0,2.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
24,0.5714285714285714,No,0.10714285714285714,4,1,0.508330925551382,0.125,0.21428571428571427,0,,1.0,1.0,1.0,0.42857142857142855,2.0,3.0,3.0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,0.2619047619047619,No,0.5357142857142857,4,1,0.3533981829272208,0.125,0.0,1,0.35714285714285715,0.5,0.5555555555555556,0.0,0.6428571428571429,2.0,4.0,2.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
26,0.8809523809523809,No,0.0,4,1,0.37176153327554656,0.375,0.0,0,0.42857142857142855,0.5,0.5555555555555556,0.0,0.5714285714285714,2.0,4.0,3.0,3,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
27,0.19047619047619047,No,0.2857142857142857,3,1,0.9812193007801213,0.125,0.7857142857142857,0,0.17857142857142858,0.75,0.2777777777777778,0.42857142857142855,0.21428571428571427,1.0,1.0,3.0,3,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
28,0.4523809523809524,No,0.14285714285714285,1,1,0.10889595171594593,0.125,0.0,0,0.6071428571428571,0.5,0.9444444444444444,0.7142857142857143,0.5,4.0,4.0,3.0,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
29,0.6190476190476191,Yes,0.0,2,2,0.5986709043629009,0.375,0.21428571428571427,1,0.6785714285714286,0.5,0.05555555555555555,0.0,0.0,4.0,3.0,1.0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
30,0.47619047619047616,No,0.03571428571428571,3,1,0.22080965681081255,1.0,0.07142857142857142,0,0.35714285714285715,0.75,0.1111111111111111,0.14285714285714285,0.14285714285714285,4.0,4.0,3.0,2,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
31,0.19047619047619047,Yes,0.10714285714285714,3,3,0.37529294680407077,0.25,0.0,0,0.17857142857142858,1.0,0.16666666666666666,0.0,0.14285714285714285,1.0,2.0,3.0,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
32,0.23809523809523808,No,0.21428571428571427,3,1,0.5539824713473948,0.125,0.14285714285714285,0,0.17857142857142858,1.0,0.2777777777777778,0.0,0.14285714285714285,4.0,4.0,3.0,2,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
33,0.7380952380952381,No,0.0,1,2,0.16578381328453562,1.0,0.14285714285714285,0,0.7857142857142857,0.5,0.16666666666666666,0.14285714285714285,0.14285714285714285,3.0,1.0,3.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34,0.42857142857142855,No,0.14285714285714285,3,3,0.28225625220713346,0.5,0.21428571428571427,0,0.35714285714285715,0.5,0.4444444444444444,1.0,0.5,3.0,2.0,3.0,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
35,0.30952380952380953,No,0.2857142857142857,4,1,0.23596263122411634,0.125,0.35714285714285715,1,0.07142857142857142,1.0,0.1111111111111111,0.2857142857142857,0.14285714285714285,4.0,2.0,2.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
36,0.19047619047619047,Yes,0.25,3,2,0.9488587113550997,0.125,0.07142857142857142,2,0.2857142857142857,1.0,0.4444444444444444,1.0,0.2857142857142857,4.0,4.0,3.0,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
37,0.4523809523809524,No,0.2857142857142857,1,1,0.03242479694372211,0.125,0.21428571428571427,0,0.14285714285714285,0.75,0.2222222222222222,0.14285714285714285,0.14285714285714285,2.0,4.0,2.0,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
38,0.5714285714285714,No,0.03571428571428571,2,3,0.12501203890975635,0.625,0.14285714285714285,0,0.8214285714285714,0.5,1.0,0.5714285714285714,0.5714285714285714,3.0,2.0,4.0,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
39,0.0,Yes,0.0,4,1,0.08513916979678321,0.125,0.21428571428571427,2,0.0,0.75,0.0,0.0,0.0,3.0,3.0,3.0,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
40,0.40476190476190477,No,0.6785714285714286,2,1,0.26614016501332305,0.0,0.5714285714285714,0,0.42857142857142855,0.5,0.6111111111111112,0.8571428571428571,0.6428571428571429,3.0,2.0,2.0,2,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
41,0.42857142857142855,No,0.25,3,3,0.3822273588237183,0.5,0.07142857142857142,2,0.14285714285714285,0.5,0.05555555555555555,0.0,0.0,3.0,,3.0,2,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
42,0.7857142857142857,No,0.03571428571428571,3,2,0.29959228225625223,0.625,0.14285714285714285,0,0.4642857142857143,0.5,0.2222222222222222,0.14285714285714285,0.14285714285714285,4.0,2.0,3.0,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
43,0.5476190476190477,No,1.0,1,1,0.08796430061960256,0.125,0.07142857142857142,0,0.7857142857142857,1.0,1.0,0.0,0.2857142857142857,4.0,2.0,3.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
44,0.0,No,0.21428571428571427,3,1,0.17997367491733282,0.125,0.2857142857142857,0,0.0,0.75,0.0,0.0,0.0,4.0,3.0,3.0,3,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
45,0.23809523809523808,No,0.2857142857142857,3,1,0.23365116055090052,0.0,0.8571428571428571,2,0.32142857142857145,0.5,0.4444444444444444,0.0,0.5,2.0,1.0,3.0,2,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
46,0.30952380952380953,No,0.25,1,1,0.12372788853574754,0.5,0.07142857142857142,1,0.35714285714285715,0.5,0.4444444444444444,1.0,0.5,2.0,4.0,2.0,3,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
47,0.5,No,0.14285714285714285,4,2,0.07037144049568204,0.0,0.6428571428571429,0,0.6785714285714286,0.75,1.0,0.42857142857142855,0.5,3.0,4.0,2.0,3,4,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
48,0.42857142857142855,No,0.14285714285714285,4,1,0.485986709043629,0.875,0.7142857142857143,0,0.39285714285714285,1.0,0.5,0.0,0.5714285714285714,2.0,2.0,3.0,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
49,0.3333333333333333,No,0.03571428571428571,3,2,0.10896015923464637,0.125,0.7142857142857143,1,0.4642857142857143,1.0,0.7222222222222222,0.5714285714285714,0.5714285714285714,4.0,3.0,2.0,3,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
50,0.47619047619047616,No,0.14285714285714285,2,3,0.34511541301486404,0.375,0.5714285714285714,2,0.6785714285714286,1.0,0.5555555555555556,0.0,0.07142857142857142,1.0,2.0,3.0,2,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
51,0.9523809523809523,No,0.03571428571428571,3,2,0.18999004783460144,0.25,0.14285714285714285,2,0.42857142857142855,0.75,0.2777777777777778,0.14285714285714285,0.14285714285714285,4.0,3.0,3.0,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
52,0.30952380952380953,No,0.6785714285714286,1,3,0.5713185013965135,0.0,0.14285714285714285,1,0.21428571428571427,0.75,0.2777777777777778,0.0,0.21428571428571427,3.0,4.0,3.0,2,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
53,0.30952380952380953,No,0.21428571428571427,4,2,0.7843590484445728,0.375,0.7142857142857143,1,0.32142857142857145,0.5,0.1111111111111111,0.14285714285714285,0.0,1.0,1.0,3.0,3,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
54,0.6428571428571429,No,0.07142857142857142,1,1,0.1625092298308132,0.125,0.14285714285714285,0,0.8571428571428571,1.0,1.0,1.0,0.7857142857142857,1.0,1.0,3.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
55,0.30952380952380953,No,0.5357142857142857,4,2,0.11525249606728948,0.0,0.5714285714285714,2,0.10714285714285714,0.0,0.1111111111111111,0.2857142857142857,0.14285714285714285,3.0,4.0,1.0,3,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
56,0.35714285714285715,No,0.2857142857142857,3,4,1.0,0.75,0.07142857142857142,1,0.42857142857142855,0.75,0.5555555555555556,1.0,0.5714285714285714,4.0,2.0,3.0,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
57,0.5,No,0.0,4,1,1.0,0.125,0.7857142857142857,1,0.75,1.0,1.0,1.0,0.7142857142857143,3.0,1.0,3.0,3,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
58,0.5952380952380952,No,0.21428571428571427,4,4,0.09181675174162894,0.0,0.2857142857142857,0,0.32142857142857145,0.5,0.4444444444444444,0.14285714285714285,0.5,3.0,4.0,3.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
59,0.7380952380952381,No,0.0,3,3,0.4048284054062731,0.875,0.7857142857142857,0,0.8928571428571429,0.5,0.3888888888888889,0.0,0.5,3.0,3.0,3.0,3,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
60,0.8095238095238095,Yes,0.21428571428571427,1,2,0.24174130790715592,0.25,0.5,1,0.39285714285714285,0.5,0.4444444444444444,1.0,0.5,3.0,2.0,2.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
61,0.21428571428571427,No,0.5,4,3,0.1857523516003724,0.125,0.7857142857142857,0,0.14285714285714285,0.5,0.2222222222222222,0.14285714285714285,0.14285714285714285,3.0,2.0,2.0,3,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
62,0.3333333333333333,No,0.0,3,3,0.10613502841182702,0.125,0.0,1,0.4642857142857143,1.0,0.7222222222222222,1.0,0.6428571428571429,3.0,2.0,3.0,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
63,0.21428571428571427,No,0.42857142857142855,2,4,0.11859128703971235,0.125,0.07142857142857142,2,0.17857142857142858,1.0,0.2777777777777778,0.0,0.2857142857142857,4.0,3.0,3.0,4,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
64,0.30952380952380953,No,0.8214285714285714,3,2,0.004622941346431667,0.5,0.0,3,0.4642857142857143,1.0,0.3888888888888889,0.14285714285714285,0.5,4.0,4.0,3.0,4,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
65,0.3333333333333333,No,0.21428571428571427,3,2,0.09393559985874346,0.875,0.14285714285714285,0,0.35714285714285715,0.5,0.3888888888888889,0.0,0.5,1.0,4.0,2.0,3,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
66,0.23809523809523808,Yes,0.2857142857142857,4,1,0.2994638672188513,0.625,0.21428571428571427,1,0.17857142857142858,1.0,0.16666666666666666,0.2857142857142857,0.14285714285714285,1.0,4.0,2.0,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
67,0.2857142857142857,No,0.42857142857142855,3,4,0.20469356961700216,0.125,0.14285714285714285,0,0.39285714285714285,0.75,0.5555555555555556,0.14285714285714285,0.6428571428571429,4.0,4.0,3.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
68,0.30952380952380953,No,0.03571428571428571,1,1,0.5588622427686282,0.125,0.42857142857142855,0,0.35714285714285715,1.0,0.5555555555555556,1.0,0.6428571428571429,3.0,3.0,3.0,2,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
69,0.5,No,0.6428571428571429,4,1,0.06761051719156314,0.125,0.14285714285714285,0,0.75,1.0,1.0,1.0,0.21428571428571427,3.0,4.0,3.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
70,0.5,Yes,0.0,1,1,0.2102796237439404,0.5,0.42857142857142855,1,0.42857142857142855,0.0,0.05555555555555555,0.0,0.0,4.0,3.0,2.0,3,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
71,0.35714285714285715,No,0.10714285714285714,2,4,0.2426402131689621,0.375,0.0,1,0.32142857142857145,0.0,0.3888888888888889,0.0,0.07142857142857142,2.0,4.0,2.0,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
72,0.6904761904761905,No,0.10714285714285714,3,2,0.3144242190760538,0.5,0.8571428571428571,0,0.75,1.0,0.16666666666666666,0.14285714285714285,0.07142857142857142,4.0,3.0,3.0,4,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
73,0.5952380952380952,No,0.4642857142857143,3,5,0.18472503130116535,0.125,0.42857142857142855,2,0.32142857142857145,0.5,0.5,0.0,0.0,3.0,3.0,4.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
74,0.21428571428571427,No,0.03571428571428571,3,1,1.0,0.0,0.42857142857142855,0,0.21428571428571427,0.75,0.2777777777777778,0.14285714285714285,0.2857142857142857,3.0,2.0,3.0,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
75,0.8571428571428571,No,0.0,4,2,0.12353526597964622,0.375,0.07142857142857142,2,0.7142857142857143,0.5,0.2222222222222222,0.0,0.21428571428571427,4.0,3.0,2.0,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
76,0.5952380952380952,No,0.21428571428571427,2,2,0.35256348518411507,1.0,0.8571428571428571,0,0.35714285714285715,0.75,0.05555555555555555,0.0,0.0,3.0,1.0,2.0,3,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
77,0.6428571428571429,No,0.07142857142857142,1,1,1.0,1.0,0.21428571428571427,1,0.42857142857142855,1.0,0.5555555555555556,1.0,0.5714285714285714,4.0,4.0,3.0,3,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
78,0.5238095238095238,No,0.03571428571428571,4,4,0.25837105525056986,0.25,0.21428571428571427,2,0.21428571428571427,1.0,0.2222222222222222,0.0,0.14285714285714285,2.0,4.0,2.0,3,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
79,0.2619047619047619,Yes,1.0,3,1,0.08334135927317089,0.125,0.14285714285714285,1,0.25,0.0,0.3888888888888889,0.0,0.5,2.0,1.0,2.0,3,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
80,0.2619047619047619,No,0.25,3,3,0.10131946450929404,0.0,0.7857142857142857,2,0.14285714285714285,0.75,0.16666666666666666,0.2857142857142857,0.14285714285714285,2.0,4.0,3.0,3,4,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
81,0.2857142857142857,No,0.32142857142857145,3,2,0.2888054191145783,0.125,0.07142857142857142,2,0.35714285714285715,0.5,0.5555555555555556,0.14285714285714285,0.14285714285714285,4.0,3.0,3.0,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
82,0.21428571428571427,No,0.35714285714285715,2,1,0.21727824328228837,0.125,0.5,1,0.2857142857142857,0.5,0.4444444444444444,0.0,0.5,2.0,2.0,3.0,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
83,0.4523809523809524,No,0.0,4,2,0.792256573244727,0.875,0.21428571428571427,0,0.2857142857142857,1.0,0.3333333333333333,0.0,0.2857142857142857,4.0,4.0,2.0,3,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
84,0.47619047619047616,No,0.9642857142857143,4,1,0.35789270923625155,0.0,0.07142857142857142,0,0.42857142857142855,0.25,0.6111111111111112,0.2857142857142857,0.6428571428571429,3.0,4.0,3.0,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
85,0.30952380952380953,No,0.17857142857142858,3,3,0.4554881376609201,0.125,0.2857142857142857,1,0.39285714285714285,1.0,0.6111111111111112,0.5714285714285714,0.7142857142857143,3.0,4.0,,3,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
86,0.2619047619047619,No,0.07142857142857142,4,3,0.19063212302160584,0.125,0.0,0,0.25,0.0,0.3888888888888889,0.14285714285714285,0.5,4.0,2.0,3.0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
87,0.40476190476190477,No,0.5357142857142857,2,3,0.09855854120517513,0.0,0.14285714285714285,1,0.6071428571428571,0.75,0.8888888888888888,0.0,0.9285714285714286,3.0,2.0,3.0,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
